ts,year,quarter,session,in_killzone,vol_regime,pd_zone,atr_pct,ret_15m,ret_60m,recent_sweep,trend_15m,trend_1h,trend_4h,direction,confidence,outcome,realized_R
2016-07-21 07:41:00+00:00,2016,3,london,1,normal,premium,0.026171352597344915,-0.00052294593233518,-0.00032898768553932375,none,na,bull,bull,flat,0,flat,0.0
2016-07-25 15:47:00+00:00,2016,3,off,0,normal,discount,0.027510752929179233,-0.0005147630357921092,-0.0010316986293071304,none,na,range,range,flat,0,flat,0.0
2016-07-28 09:44:00+00:00,2016,3,off,0,low,premium,0.011220467673014274,0.00011736225889367369,-0.00032814358309004807,none,na,range,bull,flat,0,flat,0.0
2016-08-01 17:42:00+00:00,2016,3,ny_pm,0,normal,discount,0.024269396619487956,-0.0003436626059739495,0.0002644329518280741,none,na,bear,range,flat,0,flat,0.0
2016-08-04 11:39:00+00:00,2016,3,ny_am,1,normal,premium,0.025576724603278585,-0.0003321363378897754,0.0027563606224848833,none,na,bull,bear,flat,0,flat,0.0
2016-08-08 19:39:00+00:00,2016,3,ny_pm,0,normal,discount,0.009409064044669518,0.00016316157426069097,0.0004161132000832815,none,na,range,bull,flat,0,flat,0.0
2016-08-11 13:36:00+00:00,2016,3,ny_am,1,normal,premium,0.02203155448766909,0.0009494383657158443,0.0012817900645637783,none,na,bear,bear,short,7,win,1.8921568627448386
2016-08-16 07:33:00+00:00,2016,3,london,1,normal,equilibrium,0.01491758267398724,0.0005342173473768633,-0.000570170158981313,none,na,bear,bull,flat,0,flat,0.0
2016-08-18 15:31:00+00:00,2016,3,off,0,normal,premium,0.01784533079280573,0.00037232665961101834,0.0006092103783185529,buyside,na,bull,range,short,4,win,0.18400000000023284
2016-08-23 09:28:00+00:00,2016,3,off,0,normal,premium,0.012275760285488943,0.00037910567678445543,-0.0005358578190586294,none,na,bear,bear,short,6,loss,-1.1984126984128072
2016-08-25 17:26:00+00:00,2016,3,ny_pm,0,normal,equilibrium,0.02368987370533579,0.00011208613413297363,0.0006620510906233913,buyside,na,bear,bear,short,7,win,0.4740108611323115
2016-08-30 11:23:00+00:00,2016,3,ny_am,1,low,discount,0.008184042702679634,0.0001546415721965582,0.0004889605261734984,none,na,range,range,flat,0,flat,0.0
2016-09-01 19:21:00+00:00,2016,3,ny_pm,0,high,equilibrium,0.03415613047900747,0.0006728178329387106,0.0005508160459462758,buyside,na,range,bear,flat,0,flat,0.0
2016-09-06 18:42:00+00:00,2016,3,ny_pm,0,normal,premium,0.015689388674029234,-8.641086530212451e-06,-1.4581746893301392e-05,sellside,na,bear,range,long,4,win,0.10147441457085948
2016-09-09 12:39:00+00:00,2016,3,ny_am,1,high,discount,0.025036809597909895,7.732675946957403e-05,-0.0023727872590885027,buyside,na,range,range,flat,0,flat,0.0
2016-09-14 06:36:00+00:00,2016,3,london,1,high,premium,0.0245431599332752,0.0003829309891042521,0.002252680551655209,buyside,na,bear,range,flat,0,flat,0.0
2016-09-16 14:34:00+00:00,2016,3,ny_am,1,high,discount,0.06213286742221025,-0.0004030594976555139,-0.0007517473157599585,buyside,na,bull,range,flat,0,flat,0.0
2016-09-21 08:31:00+00:00,2016,3,london,1,low,premium,0.008665918972953206,3.7925841239058686e-05,-0.001374927685939033,sellside,na,range,range,long,5,win,0.3624678663239243
2016-09-23 16:29:00+00:00,2016,3,off,0,normal,discount,0.019407605654097583,0.00037219719684209287,-0.00036156267059028616,buyside,na,range,range,short,4,timeout,0.525145067698192
2016-09-28 10:26:00+00:00,2016,3,off,0,low,discount,0.011771537685117035,0.00023110433839379336,0.0006177978499536514,none,na,bull,bear,flat,0,flat,0.0
2016-09-30 18:24:00+00:00,2016,3,ny_pm,0,normal,premium,0.022128101714930907,0.00033054551464451197,0.0007410313650527921,none,na,bear,range,flat,0,flat,0.0
2016-10-05 12:29:00+00:00,2016,4,ny_am,1,normal,premium,0.020978387471763053,0.000855162307828756,0.0028639670676808074,sellside,na,range,bear,long,5,loss,-1.1228501228501315
2016-10-10 06:26:00+00:00,2016,4,london,1,high,premium,0.011890515020252629,2.4067296536917883e-05,0.0011455738520029337,buyside,na,bear,range,flat,0,flat,0.0
2016-10-12 14:25:00+00:00,2016,4,ny_am,1,high,premium,0.04896360482470946,0.000661676158043556,0.0014214766582054078,none,na,range,bear,flat,0,flat,0.0
2016-10-17 08:22:00+00:00,2016,4,london,1,normal,discount,0.016926866519710797,-0.0003387451509157181,-4.587942004000609e-05,buyside,na,range,range,short,5,win,0.2002243409982815
2016-10-19 16:20:00+00:00,2016,4,off,0,normal,premium,0.018644407203274854,0.0006555443736011254,0.000505582820065367,buyside,na,range,range,short,4,loss,-1.3717472118960918
2016-10-24 10:17:00+00:00,2016,4,off,0,low,premium,0.008532144683334944,5.486149666471989e-06,0.00030457237215776475,buyside,na,range,range,short,4,win,1.048192771084663
2016-10-26 18:15:00+00:00,2016,4,ny_pm,0,high,premium,0.03225235221997299,0.0007427604259007885,-0.0012929281828671264,none,na,range,range,flat,0,flat,0.0
2016-10-31 12:25:00+00:00,2016,4,ny_am,1,low,premium,0.0097307408809894,-0.0004952511406992571,-1.154862051743126e-05,none,na,bear,bear,short,7,loss,-1.0750750750750768
2016-11-03 06:56:00+00:00,2016,4,london,1,normal,discount,0.0075648963887290435,-0.00016703786191536748,-0.0021355421904339206,buyside,na,bear,bear,short,8,win,0.010309278350364671
2016-11-07 16:10:00+00:00,2016,4,off,0,normal,premium,0.03432582659546125,0.0012895889497141026,0.002373693655769134,none,na,bull,bear,flat,0,flat,0.0
2016-11-10 10:07:00+00:00,2016,4,off,0,low,premium,0.021976094265579144,0.00012335460443763167,-0.00018844415593560846,none,na,bull,range,flat,0,flat,0.0
